uf,geocode,regional,regional_geocode,macroregional,macroregional_geocode
SC,4206108,Laguna,42016,Sul,4210
RJ,3302007,Metropolitana I,33005,Macrorregião II,3311
SC,4219309,Alto Vale do Rio do Peixe,42009,Meio Oeste e Serra Catarinense,4212
SC,4215554,Extremo Oeste,42001,Grande Oeste,4213
SC,4204459,Xanxerê,42003,Grande Oeste,4213
SC,4207304,Laguna,42016,Sul,4210
PI,2203800,Vale dos Rios Piauí e Itaueiras,22011,Cerrados,2210
SC,4209607,Carbonífera,42015,Sul,4210
SC,4207650,Extremo Oeste,42001,Grande Oeste,4213
SC,4207684,Xanxerê,42003,Grande Oeste,4213
SC,4209854,Alto Uruguai Catarinense,42010,Meio Oeste e Serra Catarinense,4212
SC,4213401,Xanxerê,42003,Grande Oeste,4213
SC,4211876,Oeste,42002,Grande Oeste,4213
SC,4209904,Alto Vale do Itajaí,42004,Alto Vale do Itajaí,4216
SC,4210555,Xanxerê,42003,Grande Oeste,4213
SC,4212239,Extremo Oeste,42001,Grande Oeste,4213
MG,3148707,Pedra azul,31068,Nordeste,3111
SC,4216107,Xanxerê,42003,Grande Oeste,4213
SC,4215307,Alto Vale do Itajaí,42004,Alto Vale do Itajaí,4216
SC,4217303,Extremo Oeste,42001,Grande Oeste,4213
SC,4217154,Extremo Oeste,42001,Grande Oeste,4213
SC,4217550,Oeste,42002,Grande Oeste,4213
SC,4217758,Oeste,42002,Grande Oeste,4213
MG,3148806,Viçosa,31061,Leste do Sul,3110
SC,4218400,Laguna,42016,Sul,4210
PI,2203305,Entre Rios,22004,Meio Norte,2208
SC,4201406,Extremo Sul Catarinense,42014,Sul,4210
SC,4216354,Nordeste,42011,Planalto Norte e Nordeste,4211
SC,4217808,Alto Vale do Itajaí,42004,Alto Vale do Itajaí,4216
SC,4202073,Extremo Sul Catarinense,42014,Sul,4210
SC,4217501,Alto Uruguai Catarinense,42010,Meio Oeste e Serra Catarinense,4212
SC,4215604,Laguna,42016,Sul,4210
SC,4215455,Laguna,42016,Sul,4210
SC,4214102,Alto Vale do Itajaí,42004,Alto Vale do Itajaí,4216
SC,4214003,Alto Vale do Itajaí,42004,Alto Vale do Itajaí,4216
SC,4200705,Grande Florianópolis,42007,Grande Florianópolis,4214
SC,4200606,Grande Florianópolis,42007,Grande Florianópolis,4214
SC,4218954,Serra Catarinense,42013,Meio Oeste e Serra Catarinense,4212
SC,4214904,Laguna,42016,Sul,4210
SC,4213500,Foz do Rio Itajaí,42005,Foz do Rio Itajaí,4215
SC,4213104,Alto Uruguai Catarinense,42010,Meio Oeste e Serra Catarinense,4212
SC,4214706,Médio Vale do Itajaí,42006,Alto Vale do Itajaí,4216
SC,4214300,Grande Florianópolis,42007,Grande Florianópolis,4214
SC,4212056,Serra Catarinense,42013,Meio Oeste e Serra Catarinense,4212
SC,4210704,Alto Vale do Rio do Peixe,42009,Meio Oeste e Serra Catarinense,4212
MG,3145703,Santos Dumont,31046,Sudeste,3107
MG,3145505,São Lourenço,31008,Sul,3101
SC,4214805,Alto Vale do Itajaí,42004,Alto Vale do Itajaí,4216
MG,3145455,Bocaiúva,31083,Norte,3108
SC,4201109,Grande Florianópolis,42007,Grande Florianópolis,4214
SC,4212502,Foz do Rio Itajaí,42005,Foz do Rio Itajaí,4215
SC,4200051,Meio Oeste,42008,Meio Oeste e Serra Catarinense,4212
SC,4219853,Meio Oeste,42008,Meio Oeste e Serra Catarinense,4212
SC,4211892,Serra Catarinense,42013,Meio Oeste e Serra Catarinense,4212
SC,4209508,Alto Vale do Itajaí,42004,Alto Vale do Itajaí,4216
SC,4218103,Extremo Sul Catarinense,42014,Sul,4210
SC,4208906,Nordeste,42011,Planalto Norte e Nordeste,4211
SC,4210803,Extremo Sul Catarinense,42014,Sul,4210
SC,4207403,Alto Vale do Itajaí,42004,Alto Vale do Itajaí,4216
SC,4210050,Alto Vale do Rio do Peixe,42009,Meio Oeste e Serra Catarinense,4212
MG,3144672,Mantena,31038,Leste,3106
SC,4209706,Alto Vale do Rio do Peixe,42009,Meio Oeste e Serra Catarinense,4212
SC,4207577,Alto Vale do Rio do Peixe,42009,Meio Oeste e Serra Catarinense,4212
SC,4202602,Serra Catarinense,42013,Meio Oeste e Serra Catarinense,4212
SC,4215703,Grande Florianópolis,42007,Grande Florianópolis,4214
SC,4205704,Grande Florianópolis,42007,Grande Florianópolis,4214
SC,4204350,Oeste,42002,Grande Oeste,4213
SC,4212403,Laguna,42016,Sul,4210
MG,3147600,São Lourenço,31008,Sul,3101
MG,3111309,Alfenas / Machado,31001,Sul,3101
MG,3167004,São Lourenço,31008,Sul,3101
